"";"CO_MUNICIPIO";"Populacao";"desp_aluno_mat";"CO_ENTIDADE";"IN_LOCAL_FUNC_PREDIO_ESCOLAR";"IN_LOCAL_FUNC_SALAS_EMPRESA";"IN_LOCAL_FUNC_SOCIOEDUCATIVO";"IN_LOCAL_FUNC_UNID_PRISIONAL";"IN_LOCAL_FUNC_PRISIONAL_SOCIO";"IN_LOCAL_FUNC_TEMPLO_IGREJA";"IN_LOCAL_FUNC_CASA_PROFESSOR";"IN_LOCAL_FUNC_GALPAO";"IN_AGUA_FILTRADA";"IN_AGUA_REDE_PUBLICA";"IN_AGUA_POCO_ARTESIANO";"IN_AGUA_CACIMBA";"IN_AGUA_FONTE_RIO";"IN_AGUA_INEXISTENTE";"IN_ENERGIA_REDE_PUBLICA";"IN_ENERGIA_INEXISTENTE";"IN_LABORATORIO_INFORMATICA";"IN_QUADRA_ESPORTES";"IN_BIBLIOTECA";"IN_SALA_LEITURA";"IN_INTERNET";"IN_BANDA_LARGA";"IN_ALIMENTACAO";"UF";"Nome_Escola";"Indicador_Escola";"num_matriculas"
"16";4308201;29603;35087,2713247863;43206670;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUND LEONEL DE MOURA BRIZOLA";4,9;363
"17";3115904;3072;17812,6585106383;31270628;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"MG";"EM PREFEITO NILTO BRETAS";5,2;420
"18";4313490;4181;30011,25546875;43095232;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;1;"RS";"ESC MUN ENS FUN JOAO BATISTA REUS";4,3;145
"19";4312906;9540;41968,7671590909;43090532;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN 15 DE NOVEMBRO";5,1;395
"20";4307609;46877;20709,97308867;43059910;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;"RS";"EMEF FERNANDO FERRARI";6,2;521
"21";4307609;46877;20709,97308867;43059961;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF ANITA GARIBALDI";5,3;402
"22";4307609;46877;20709,97308867;43060099;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF NICOLAU ANSELMO WECKER";4,2;448
"23";4307609;46877;20709,97308867;43059945;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF OTAVIO ROCHA";5,8;648
"24";4307609;46877;20709,97308867;43176941;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF ERVINO ARTHUR RITTER";5,5;356
"25";4307609;46877;20709,97308867;43060056;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF WALTER JACOB BAUERMANN";5,1;628
"26";4307609;46877;20709,97308867;43060064;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF SELVINO RITTER";4,9;251
"27";4304671;4362;39893,3471895425;43203930;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;1;"RS";"EMEF CAPIVARI";4,8;645
"28";4319505;24825;29406,2815454545;43144055;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;1;"RS";"ESC MUN DOUTOR ALBERTO PASQUALINI";4,3;141
"29";4319505;24825;29406,2815454545;43169554;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN SAO JOSE";4,5;397
"30";4319505;24825;29406,2815454545;43144047;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;"RS";"ESC MUNICIPAL GENERAL DAVID CANABARRO";3,1;579
"31";4314704;10623;33794,4463671875;43171710;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF MARIO QUINTANA";4,8;727
"32";2910107;12553;12500,5376303318;29237262;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;"BA";"NUCLEO EDUCACIONAL SAO JOSE";3;159
"33";2910107;12553;12500,5376303318;29237360;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;1;1;"BA";"NUCLEO EDUCACIONAL SAO CRISTOVAO";3,3;343
"34";2910107;12553;12500,5376303318;29330297;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;"BA";"NUCLEO EDUCACIONAL INTEGRADO ALFREDO SOUZA MACHADO";3,9;149
"35";2910107;12553;12500,5376303318;29237050;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"BA";"CENTRO EDUCACIONAL PADRE MANOEL OLIMPIO";4,6;552
"36";3161304;6224;17452,3640251572;31165051;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"MG";"ESCOLA MUNICIPAL SANTA TEREZINHA";4,5;889
"37";4320503;6116;42732,88734375;43149138;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;1;"RS";"ESCOLA MUNICIPAL ENSINO FUNDAMENTAL JOAO ANTONIO DE COL";4,7;324
"38";3153608;10485;32208,4864485981;31219436;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"MG";"EM JELIOMAR BRANDAO";3,2;474
"39";4305850;2467;35017,7791549296;43039782;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;"RS";"EMEF JUSTINIANO ROCHA";4,2;113
"40";2311264;20777;14720,8013636364;23093080;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;"CE";"MANOEL RODRIGUES DO NASCIMENTO EEF";5,1;264
"41";2311264;20777;14720,8013636364;23240245;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"CE";"ROBERTO ANTUNES DE FREITAS EEF";4,5;411
"42";2311264;20777;14720,8013636364;23092955;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;"CE";"ZACARIAS BEZERRA DO NASCIMENTO EEIF";5,1;210
"43";2311264;20777;14720,8013636364;23545623;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;"CE";"ANTONIO LAURINDO SOARES EEIF";4,3;289
"44";2311264;20777;14720,8013636364;23093242;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;"CE";"JOSE DOMINGOS DA SILVA EEIF";4,1;251
"45";2311264;20777;14720,8013636364;23093137;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;"CE";"VIRGILIO TAVORA EEIF";5,4;323
"46";2311264;20777;14720,8013636364;23204052;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;1;"CE";"FRANCISCO DE ASSIS FERREIRA EEIF";4,7;354
"47";2311264;20777;14720,8013636364;23092904;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;"CE";"PEDRO MANOEL BONFIM EEIF";5,3;248
"48";2311264;20777;14720,8013636364;23545631;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;1;0;1;"CE";"DETELVINA ARAUJO LIMA EEIF";5;318
"49";2311264;20777;14720,8013636364;23093250;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1;"CE";"JOSE FRANCISCO DAS CHAGAS EEIF";3,8;195
"50";3301850;57105;20224,6805586371;33051062;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;0;1;"RJ";"E M PROFª ACACIA LEITAO PORTELLA";4,3;1205
"51";3301850;57105;20224,6805586371;33051305;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;1;1;1;"RJ";"E M PROF ILZA JUNGER PACHECO";4;684
"52";3301850;57105;20224,6805586371;33096910;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;1;1;1;"RJ";"E M ROSA DE SAROM";4,1;248
"53";3204104;26863;19020,8994530046;32015607;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;1;1;1;"ES";"EMPEF GOVERNADOR CARLOS LINDENBERG";4,2;622
"54";3204104;26863;19020,8994530046;32015666;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1;"ES";"EMEF DR EMIR DE MACEDO GOMES";4,6;513
"55";4305447;5292;27784,0482553191;43031749;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN SANTA LUZIA";3,5;513
"56";4305447;5292;27784,0482553191;43031811;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN ARLINDO BONIFACIO PIRES";3,2;390
"57";2410603;3224;22769,3727111111;24024538;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;"RN";"ESCOLA MUNICIPAL 1º GRAU PROFESSOR RAIMUNDO NONATO DE LIMA";5,4;524
"58";3154507;9665;15381,2632008368;31091766;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;"MG";"EM PE RICARDO";3,7;240
"59";3154507;9665;15381,2632008368;31091651;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;"MG";"EM ALMIRANTE TAMANDARE";4,2;133
"60";3154507;9665;15381,2632008368;31091928;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;"MG";"EM SANTOS DUMONT";5,1;633
"61";3160900;3730;22645,1613901345;31216950;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"MG";"EM AMELIA DANUNCIACAO PYRAMO";5,8;519
"62";2300507;11391;14036,8881796116;23016930;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;"CE";"EEF INOCENCIA ALCANTARA FREIRE";4,6;571
"63";4210035;5703;34494,0581443299;42101395;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;"SC";"EM SAO FRANCISCO";6,4;1197
"64";3166402;1874;25877,9321052632;31271934;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"MG";"EM PROF MARY VIEIRA RIBEIRO SOUZA";4,9;225
"65";4311403;79172;37746,4170905588;43083579;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;1;1;"RS";"EMEF NOVA VIENA";6,1;406
"66";4311403;79172;37746,4170905588;43083668;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF GUIDO ARNOLDO LERMEN";5,9;337
"67";4311403;79172;37746,4170905588;43083650;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"E M E F PORTO NOVO";6,4;570
"68";4311403;79172;37746,4170905588;43083625;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF VIDA NOVA";5,6;548
"69";4311403;79172;37746,4170905588;43172296;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF UNIVERSITARIO";6;248
"70";4311403;79172;37746,4170905588;43082718;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF FRANCISCO OSCAR KARNAL";4,6;577
"71";4311403;79172;37746,4170905588;43083102;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN SAO JOAO";5;331
"72";4311403;79172;37746,4170905588;43082599;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF ALFREDO LOPES DA SILVA";5,3;311
"73";4311403;79172;37746,4170905588;43083331;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF SAO BENTO";5,4;303
"74";3143906;107916;30417,6077151703;31098779;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;"MG";"EM GILBERTO JOSE TANUS BRAZ";5,5;820
"75";3143906;107916;30417,6077151703;31227838;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"MG";"EM PROF ELZA ROGERIO";4,4;449
"76";3143906;107916;30417,6077151703;31098761;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"MG";"EM CLERIA TICON CARNEIRO";5,1;523
"77";3143906;107916;30417,6077151703;31098949;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;1;1;1;"MG";"EM SERGIO LUCIO FERNANDES AMARAL";5,4;93
"78";3143906;107916;30417,6077151703;31235172;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"MG";"EM PROF STELLA FIDELES";5;435
"79";3526506;11156;30128,7332535885;35220985;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;0;1;"SP";"JOAQUIM FRANCO DE MELLO CORONEL EMEF";5,2;548
"80";4210407;7051;31700,5125;42121906;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;"SC";"ESCOLA DE EDUCACAO BASICA MUNICIPAL NIVALDO JOSE ROSA";5,1;448
"81";3157336;8489;27349,1628971963;31265128;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;1;0;1;0;1;"MG";"EM PROFA LUZIA FERREIRA";4,7;473
"82";4309308;99186;23378,1818758389;43070370;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN AMADEU BOLOGNESI";3,7;1078
"83";4309308;99186;23378,1818758389;43070051;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN RIO GRANDE DO SUL";5;898
"84";4309308;99186;23378,1818758389;43069819;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF DARCY BERBIGIER";4,5;518
"85";4309308;99186;23378,1818758389;43070388;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"RS";"EMEF SANTA RITA DE CASSIA";5,5;1557
"86";4309308;99186;23378,1818758389;43070396;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF SAO FRANCISCO DE ASSIS";5,4;519
"87";4309308;99186;23378,1818758389;43207189;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUND ZILA PAIVA RODRIGUES JARDIM";4,6;749
"88";4309308;99186;23378,1818758389;43070019;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN JOSE CARLOS FERREIRA";4;1025
"89";4309308;99186;23378,1818758389;43070329;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF ANITA GARIBALDI";4,4;537
"90";4309308;99186;23378,1818758389;43070116;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN SAO PAULO";4,6;168
"91";4309308;99186;23378,1818758389;43069886;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN INACIO DE QUADROS";4,6;556
"92";4309308;99186;23378,1818758389;43070450;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"RS";"EMEF SENADOR TEOTONIO BRANDAO VILELLA";3,6;1203
"93";3301108;19727;27301,1990333333;33019371;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;1;"RJ";"E M ELESTAR CAETANO MENDES";4;321
"94";3301108;19727;27301,1990333333;33019045;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RJ";"E M DACYR JOSE RIBEIRO";4,3;325
"95";4211603;14654;44043,4855555556;42109507;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;1;"SC";"EB MUN BAIRRO BORTOLOTTO";5;941
"96";4211603;14654;44043,4855555556;42109493;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;1;"SC";"ESC MUN CARAVAGGIO";4,9;483
"97";4211603;14654;44043,4855555556;42131332;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;"SC";"EB MUN LIBERO UGIONI";4,8;164
"98";2412005;99724;16677,2302969597;24248207;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;"RN";"ESCOLA MUNICIPAL MARIA LOURDES DE LIMA";3,5;1195
"99";2412005;99724;16677,2302969597;24071480;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"RN";"EM 1º GRAU JOAQUIM VICTOR DE HOLANDA";3,3;207
"100";2412005;99724;16677,2302969597;24054526;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;1;"RN";"EM DE ENS FUND PROF MARIA DA CRUZ";3,5;651
"101";2412005;99724;16677,2302969597;24054763;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;1;1;"RN";"EM DE 1 GRAU MARIA RUFINA DE LIMA";3,1;749
"102";2412005;99724;16677,2302969597;24055190;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;0;0;1;"RN";"EM DE 1 E 2 G DR ROBERTO B FREIRE";2,3;689
"103";2412005;99724;16677,2302969597;24054674;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;"RN";"EM DE 1 E 2 JOSE FCO DA COSTA";3,2;463
"104";2412005;99724;16677,2302969597;24054658;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;1;1;1;1;"RN";"ESC MUL DE ENSINO FUNDAMENTAL GENESIO C DE MACEDO";2,7;613
"105";3139904;14502;20250,3242050209;31055719;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;1;1;1;"MG";"EM PE PIVATO";5,6;434
"106";3546256;2097;37719,1567226891;35232671;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"SP";"OLYMPIO PEREIRA CONCEICAO EMEB";5,8;265
"107";2206357;6513;8272,81269714286;22036628;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;"PI";"ESC MUL CALDEIRAO DOS BRANDAOS";3,3;118
"108";4303905;64553;26269,1397082228;43033644;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF SANTOS DUMONT";6,4;978
"109";4303905;64553;26269,1397082228;43033504;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF DUQUE DE CAXIAS";5,9;493
"110";4303905;64553;26269,1397082228;43033636;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF RUI BARBOSA";6,5;1354
"111";4303905;64553;26269,1397082228;43171885;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF BORGES DE MEDEIROS";5,7;1183
"112";4303905;64553;26269,1397082228;43005128;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF MORADA DO SOL";5,5;545
"113";4303905;64553;26269,1397082228;43033652;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF VINTE E CINCO DE JULHO";5,4;864
"114";4303905;64553;26269,1397082228;43033610;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF PRESIDENTE VARGAS";5,4;688
"115";4303905;64553;26269,1397082228;43033687;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF LUCIA MOSSMANN";6,4;888
"116";4303905;64553;26269,1397082228;43238408;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF CENTRO EDUCACAO INTEGRADA - CEI";5,3;1086
"117";3147402;24273;29443,1809302326;31141330;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;"MG";"EM JOSE LUCAS DE FIGUEIREDO";4,8;214
"118";3147402;24273;29443,1809302326;31144533;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;1;1;1;"MG";"EM DR TEOFILO NASCIMENTO";4,8;161
"119";4301636;12493;18402,3018335501;43046070;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF BARAO DE SANTO ANGELO";4,1;284
"120";4301636;12493;18402,3018335501;43046100;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;"RS";"EMEF LUIZ DE OLIVEIRA";4;558
"121";3102803;12507;13561,2082287823;31258717;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"MG";"ESCOLA MUNICIPAL JOAO NARCISO DE OLIVEIRA";5;820
"122";4315909;5961;39592,6883892617;43115730;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN OLAVO BILAC";4,7;308
"123";5108808;4523;19274,2419642857;51009749;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;1;"MT";"ESCOLA MUNICIPAL SANTA ISABEL";4,5;300
"124";2203453;9396;16855,6000384615;22070850;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;"PI";"ESC MUL MANOEL AUTO DE SOUSA";2,6;195
"125";2203453;9396;16855,6000384615;22070494;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;"PI";"ESC MUL CANSANCAO";3,4;261
"126";2203453;9396;16855,6000384615;22070869;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;"PI";"ESC MUL DE DOM INOCENCIO";4,7;695
"127";1300102;19749;19471,7153679654;13014994;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;"AM";"ESC NOVA UNIAO";4;172
"128";1300102;19749;19471,7153679654;13070703;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;1;"AM";"ESC PEDRO RIENZI DE MELLO ROSAS";5;514
